詞彙,漢語拼音,詞類
振動,zhèndòng ,(VA)
震驚,zhènjīng ,(VS)
陣營,zhènyíng ,(N)
蒸,zhēng ,(VA)
蒸發,zhēngfā ,(VA)
蒸氣,zhēngqì ,(N)
爭辯,zhēngbiàn ,(VA)
爭奪,zhēngduó ,(VA)
爭論,zhēnglùn ,(N)
爭氣,zhēngqì ,(VS)
爭議,zhēngyì ,(N)
徵收,zhēngshōu ,(VA)
掙扎,zhēngzhá ,(VA)
整,zhěng ,(VS)
整頓,zhěngdùn ,(VA)
整體,zhěngtǐ ,(N)
整整,zhěngzhěng ,(Adv)
正當,zhèngdāng ,(VS)
正面,zhèngmiàn ,(Adv)
正統,zhèngtǒng ,(N)
正義,zhèngyì ,(N)
政績,zhèngjī ,(N)
政見,zhèngjiàn ,(N)
政權,zhèngquán ,(N)
證券,zhèngquàn ,(N)
證人,zhèngrén ,(N)
掙,zhèng,(VA)
之內,zhīnèi ,(N)
之所以,zhīsuǒyǐ,(Conj)
支撐,zhīchēng ,(VA)
支付,zhīfù ,(VA)
支配,zhīpèi ,(VA)
支應,zhīyìng,(VA)
知足,zhīzú ,(VS)
脂肪,zhīfáng ,(N)
織,zhī ,(VA)
直徑,zhíjìng ,(N)
值班,zhíbān ,(VA)
值錢,zhíqián ,(VS)
殖民,zhímín ,(VA)
質量,zhíliàng ,(N)
質疑,zhíyí ,(VA)
職務,zhíwù ,(N)
職責,zhízé ,(N)
執照,zhízhào ,(N)
執政,zhízhèng ,(VA)
執著,zhízhuó,(VS)
止,zhĭ,(N)
只得,zhǐděi,(Adv)
指標,zhǐbiāo ,(N)
指點,zhǐdiăn ,(VA)
指揮,zhǐhuī ,(N)
指揮,zhǐhuī ,(VA)
指控,zhǐkòng ,(VA)
指南針,zhǐnánzhēn ,(N)
指數,zhǐshù ,(N)
指頭,zhǐtou,(N)
指望,zhǐwàng ,(VS)
指紋,zhǐwén ,(N)
指引,zhǐyǐn ,(VA)
指正,zhǐzhèng ,(VA)
至,zhì,(Conj)
至,zhì ,(Prep)
至今,zhìjīn ,(Adv)
治安,zhìān ,(N)
治本,zhìběn ,(VA)
治標,zhìbiāo ,(VA)
治理,zhìlǐ ,(VA)
治療,zhìliáo ,(VA)
志趣,zhìqù ,(N)
志向,zhìxiàng ,(N)
致詞,zhìcí ,(VA)
致富,zhìfù ,(VS)
致力,zhìlì ,(VS)
致命,zhìmìng ,(VS)
致意,zhìyì ,(VA)
智力,zhìlì ,(N)
制裁,zhìcái ,(VA)
制訂,zhìdìng ,(VA)
製品,zhìpǐn ,(N)
滯留,zhìliú ,(VA)
中斷,zhōngduàn ,(VA)
中和,zhōnghé ,(VA)
中立,zhōnglì ,(VS)
中旬,zhōngxún ,(N)
中葉,zhōngyè ,(N)
中醫,zhōngyī ,(N)
中庸,zhōngyōng ,(VS)
忠實,zhōngshí ,(VS)
衷心,zhōngxīn ,(Adv)
終場,zhōngchăng ,(N)
終結,zhōngjié ,(VA)
終究,zhōngjiù ,(Adv)
終身,zhōngshēn ,(N)
種種,zhǒngzhǒng,(Det)
種植,zhòngzhí ,(VA)
中風,zhòngfēng ,(VS)
中獎,zhòngjiăng ,(VS)
中肯,zhòngkěn,(VS)
中暑,zhòngshŭ ,(VS)
重用,zhòngyòng ,(VA)
重鎮,zhòngzhèn ,(N)
周邊,zhōubiān ,(N)
周密,zhōumì ,(VS)
周詳,zhōuxiáng ,(VS)
周遊,zhōuyóu ,(VA)
周轉,zhōuzhuăn ,(VA)
皺,zhòu ,(VS)
皺紋,zhòuwén ,(N)
株,zhū ,(M)
諸多,zhūduō ,(Det)
逐,zhú ,(Prep)
逐,zhú ,(VA)
逐步,zhúbù ,(Adv)
主導,zhŭdăo ,(VA)
主管,zhŭguăn ,(VA)
主見,zhŭjiàn ,(N)
主力,zhŭlì ,(N)
主流,zhŭliú ,(N)
主權,zhŭquán ,(N)
主人翁,zhŭrénwēng ,(N)
主義,zhŭyì ,(N)
主宰,zhŭzăi ,(VA)
主旨,zhŭzhǐ ,(N)
主軸,zhŭzhóu ,(N)
囑咐,zhŭfù ,(VA)
矚目,zhŭmù ,(VA)
注定,zhùdìng ,(VS)
注目,zhùmù ,(VA)
注視,zhùshì ,(VA)
注重,zhùzhòng ,(VS)
住戶,zhùhù ,(N)
住宿,zhùsù ,(VA)
柱子,zhùzi ,(N)
助教,zhùjiào ,(N)
助手,zhùshǒu ,(N)
佇立,zhùlì ,(VA)
著作,zhùzuò ,(N)
駐,zhù ,(VA)
抓緊,zhuājǐn ,(VA)
專櫃,zhuānguì ,(N)
專員,zhuānyuán ,(N)
專制,zhuānzhì ,(VS)
磚,zhuān ,(N)
轉動,zhuăndòng ,(VA)
轉化,zhuănhuà ,(VA)
轉機,zhuănjī ,(N)
轉手,zhuănshǒu ,(VA)
轉向,zhuănxiàng ,(VA)
轉眼,zhuănyăn ,(Adv)
轉移,zhuănyí ,(VA)
轉帳,zhuănzhàng ,(VA)
撰寫,zhuànxiě ,(VA)
莊嚴,zhuāngyán ,(VS)
裝備,zhuāngbèi ,(N)
裝潢,zhuānghuáng ,(VA)
裝配,zhuāngpèi ,(VA)
裝運,zhuāngyùn ,(VA)
裝置,zhuāngzhì ,(VA)
壯觀,zhuàngguān ,(VS)
壯麗,zhuànglì ,(VS)
狀元,zhuàngyuán ,(N)
追捕,zhuībŭ ,(VA)
追查,zhuīchá ,(VA)
追究,zhuījiù ,(VA)
準,zhŭn ,(Adv)
準備,zhǔnbèi,(N)
準則,zhŭnzé ,(N)
准許,zhŭnxŭ ,(VA)
卓越,zhuóyuè ,(VS)
著手,zhuóshǒu ,(VA)
著眼,zhuóyăn ,(VS)
著重,zhuózhòng ,(VS)
酌量,zhuóliàng ,(Adv)
資深,zīshēn ,(VS)
資助,zīzhù ,(VA)
姿勢,zīshì ,(N)
姿態,zītài ,(N)
滋味,zīwèi ,(N)
子彈,zǐdàn ,(N)
子弟,zǐdì ,(N)
子孫,zǐsūn ,(N)
紫外線,zǐwàixiàn ,(N)
自,zì ,(Prep)
自稱,zìchēng ,(VA)
自費,zìfèi ,(VA)
自豪,zìháo ,(VS)
自覺,zìjué ,(VS)
自立,zìlì ,(VS)
自滿,zìmăn ,(VS)
自然,zìrán,(Adv)
自身,zìshēn ,(N)
自行,zìxíng ,(Adv)
自制,zìzhì ,(VA)
自治,zìzhì ,(VA)
自傳,zìzhuàn,(N)
字體,zìtǐ ,(N)
字眼/字眼兒,zìyăn/zìyănr,(N)
字樣,zìyàng ,(N)
宗旨,zōngzhǐ ,(N)
總裁,zǒngcái ,(N)
總得,zǒngděi ,(Adv)
總額,zǒngé ,(N)
總和,zǒnghé ,(N)
總結,zǒngjié ,(N)
總經理,zǒngjīnglǐ ,(N)
總數,zǒngshù ,(N)
縱火,zònghuǒ ,(VA)
縱容,zòngróng,(VS)
縱使,zòngshǐ ,(Conj)
走廊,zǒuláng ,(N)
揍,zòu ,(VA)
租賃,zūlìn ,(VA)
足,zú ,(Det)
足夠,zúgòu,(VS)
祖宗,zŭzōng ,(N)
阻擋,zŭdăng ,(VA)
阻力,zŭlì ,(N)
阻撓,zŭnáo ,(VA)
阻塞,zŭsè ,(VS)
組織,zŭzhī ,(VA)
組裝,zŭzhuāng ,(VA)
鑽研,zuānyán ,(VA)
嘴唇,zuǐchún ,(N)
罪惡,zuìè ,(N)
罪名,zuìmíng ,(N)
罪行,zuìxíng ,(N)
尊,zūn ,(M)
尊,zūn ,(VS)
尊嚴,zūnyán ,(N)
遵循,zūnxún ,(VS)
作風,zuòfēng ,(N)
作怪,zuòguài ,(VA)
作為,zuòwéi ,(N)
作物,zuòwù ,(N)
作戰,zuòzhàn ,(VA)
作證,zuòzhèng ,(VA)
坐牢,zuòláo ,(VA)
坐鎮,zuòzhèn ,(VA)
座談,zuòtán ,(VA)
座右銘,zuòyòumíng ,(N)
